id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,username
307,18,69,2001,8,Male,2846 Lake Avenue,30.23,-92.81,$18082,$36866,$0,680,2,Michael Brown
1783,52,70,1967,9,Male,2093 Ocean Street,37.78,-122.24,$18443,$37607,$63689,749,5,Marvin Santos
1321,49,66,1970,10,Female,981 Fifth Boulevard,40.26,-103.79,$16910,$34480,$58795,696,1,Patricia Evans
1511,43,66,1977,1,Male,18 Norfolk Boulevard,43.07,-89.38,$23680,$48279,$114254,719,2,Scott Moss
900,36,65,1983,7,Male,977 Littlewood Avenue,30.17,-85.67,$16133,$32896,$69800,735,2,Jordan Scott
953,18,71,2001,6,Male,993 Mountain View Avenue,33.78,-117.33,$14667,$29909,$42832,664,2,Robert Poole
233,37,64,1982,12,Female,896 Rose Street,44.96,-93.26,$23278,$47464,$83591,716,1,Elizabeth Nash
406,23,64,1996,5,Female,2418 Mill Drive,37.3,-122.0,$41750,$85128,$108678,641,1,Ashley Gonzalez
1069,54,69,1965,9,Male,3683 Fifth Street,35.3,-81.03,$22487,$45852,$114746,615,2,Michael Beck
180,33,67,1986,7,Female,0 Elm Street,33.53,-112.18,$13024,$26556,$43042,840,2,Kelly Moore
996,63,67,1956,11,Female,2302 Catherine Lane,26.02,-80.16,$19712,$40194,$107765,738,6,Jillian Ferguson
1866,22,67,1998,2,Male,213 Rose Drive,32.85,-96.96,$30475,$62135,$75209,676,2,Ian Turner
1981,48,65,1972,1,Male,8975 Littlewood Boulevard,26.63,-81.99,$19274,$39303,$23650,702,7,Brandon Roth
870,63,64,1956,3,Female,1389 Park Lane,38.64,-76.9,$35114,$71593,$132181,821,3,Amanda Franco
16,75,67,1944,12,Male,2890 Eighth Lane,41.88,-87.84,$15451,$22158,$19101,681,5,Michael Valencia
46,62,66,1957,6,Male,20 Littlewood Boulevard,40.66,-73.84,$26481,$53996,$98211,632,4,Juan Walsh
800,28,73,1991,10,Female,6413 Second Street,30.44,-87.18,$12766,$26025,$23971,723,4,Amy Andersen
1968,25,69,1994,11,Female,611 Elm Lane,40.94,-73.86,$31299,$63816,$100128,775,1,Terry Jackson
697,56,73,1964,1,Female,889 Martin Luther King Avenue,35.72,-78.84,$32485,$66230,$90248,742,3,Alison Chavez
1269,56,56,1963,10,Male,336 Rose Avenue,41.83,-87.68,$25365,$36335,$28929,676,2,Stephen Grant
1782,59,61,1961,2,Female,4254 Plum Lane,33.74,-117.99,$19438,$39633,$58586,777,3,Sandra Weiss
1977,43,69,1976,8,Female,825 Sussex Avenue,41.5,-87.5,$28048,$57185,$0,773,3,Robin Oliver
1734,37,69,1982,11,Male,185 Forest Drive,33.95,-84.54,$40530,$82637,$84762,739,2,Peter Fields
1913,60,57,1960,1,Female,561 Martin Luther King Avenue,42.47,-83.49,$34259,$31121,$32768,619,5,Erica Williams
858,47,67,1972,11,Male,335 Valley Stream Boulevard,29.5,-97.44,$15092,$30774,$51428,700,3,Charles Ramirez
606,48,67,1971,12,Male,1773 Hill Street,39.4,-88.8,$16300,$33236,$57549,747,1,William Cruz
1564,35,65,1984,10,Male,55 Ocean View Street,35.2,-101.81,$18613,$37947,$49951,683,3,Michael White
1109,24,65,1995,11,Male,8245 El Camino Lane,37.68,-97.34,$21518,$43875,$128146,639,1,Shane Green
1301,26,66,1993,5,Female,9530 Washington Street,38.1,-122.63,$30335,$61850,$81158,728,9,Crystal Mora
1399,28,71,1991,5,Male,221 Lexington Avenue,32.08,-81.1,$19770,$40314,$131348,707,4,Bradley Ellis
1775,26,67,1993,8,Male,2484 Norfolk Drive,38.91,-75.43,$18622,$37968,$55982,788,3,Ricky Schmidt
1673,41,67,1978,11,Male,133 Grant Lane,43.46,-85.95,$17145,$34954,$45456,772,3,Jeffrey Adams
1957,40,74,1979,9,Male,1977 Lake Avenue,34.15,-118.6,$47055,$95945,$222735,772,2,Christian Perez
1033,18,58,2002,2,Female,352 George Street,43.07,-82.49,$16598,$33844,$42109,684,2,Meghan Powell
1024,66,67,1953,4,Male,554 Grant Boulevard,37.69,-97.13,$32162,$65573,$143069,739,4,Leon Henry
1441,40,66,1979,7,Male,631 Ocean View Street,43.07,-89.38,$23840,$48609,$43520,737,3,Alexander Foster
1103,45,70,1974,5,Female,31 Jefferson Boulevard,47.09,-116.46,$12618,$25723,$34007,746,3,Kristin Wood
431,19,72,2000,3,Female,973 Federal Avenue,30.62,-87.89,$25495,$51984,$79152,691,3,Erica Castaneda
165,34,65,1986,2,Male,95266 Bayview Drive,37.83,-122.22,$52813,$107683,$225017,694,3,Travis Jenkins
353,24,69,1996,2,Female,932 Essex Street,33.83,-117.2,$16109,$32847,$33514,721,2,Shannon Salinas
1758,57,66,1963,1,Male,126 Valley Drive,32.32,-90.2,$11061,$22556,$43260,645,4,Dustin Robinson
1266,35,54,1984,9,Female,239 South Drive,39.51,-76.17,$22590,$46063,$106528,618,1,Mary Rice
1943,19,65,2000,9,Female,1134 Valley Drive,41.71,-72.83,$46762,$95348,$71972,706,3,Deanna Lambert
792,28,65,1992,1,Female,5863 Grant Avenue,38.71,-95.08,$22158,$45180,$13168,698,2,Emma Wallace
1055,37,69,1982,4,Male,3472 11th Avenue,28.5,-81.37,$15137,$30865,$55079,594,1,Mr. John Evans
1159,20,69,1999,11,Male,5590 Bayview Avenue,43.05,-82.67,$20377,$41543,$49021,732,4,Michael Richards
1115,53,73,1966,9,Male,94 Jefferson Drive,32.32,-95.3,$14811,$30198,$40950,693,6,Evan Martinez
38,45,64,1974,12,Female,582 Birch Boulevard,26.63,-81.85,$19621,$40006,$72794,621,1,Paula Lara
1027,53,68,1966,5,Male,809 Mountain View Boulevard,38.88,-94.81,$30232,$61646,$0,693,3,Gary Owens
11,39,67,1980,10,Female,6339 Fourth Street,39.45,-76.81,$33175,$67643,$0,714,6,Nina Barnes
871,86,71,1933,5,Female,81 Hill Avenue,42.38,-83.1,$13820,$22650,$0,690,6,Samantha Carpenter
746,63,67,1956,10,Male,28136 Wessex Street,40.64,-73.94,$14856,$30288,$42745,689,4,William Santos
1520,67,65,1952,10,Male,8787 Rose Avenue,37.72,-122.44,$22549,$47213,$1082,789,5,Daniel Kelly
1372,76,66,1943,10,Female,96 Ninth Lane,34.95,-96.75,$15005,$28215,$18116,697,2,Angelica Washington
1799,32,55,1987,4,Male,3249 12th Drive,47.75,-122.04,$51751,$105515,$192458,646,4,Mark Holmes
1905,36,68,1983,12,Male,9340 Valley Street,27.48,-82.57,$13972,$28489,$6087,808,4,John Price
130,63,69,1956,9,Female,6429 Fifth Avenue,35.19,-80.83,$39752,$81048,$156195,781,4,Jennifer Dixon
1990,19,62,2000,12,Female,849 George Avenue,38.77,-76.06,$23180,$47263,$74853,726,2,Alisha Underwood
593,19,71,2000,7,Male,804 Seventh Boulevard,40.52,-122.32,$16585,$33816,$77770,635,1,Mark Peck
540,25,69,1994,9,Female,76009 Valley Stream Boulevard,42.37,-87.86,$15770,$32160,$62803,634,1,Nancy Smith
1155,83,65,1936,8,Female,387 Third Boulevard,31.5,-111.06,$15462,$29494,$1196,689,5,Caitlin Anderson
663,68,63,1951,3,Female,6398 Lake Lane,35.92,-86.84,$36563,$70554,$39078,655,5,Sarah Thomas
1987,63,62,1956,9,Male,786 12th Drive,42.13,-87.92,$23098,$33686,$24997,488,2,John Whitehead
1484,92,72,1927,8,Female,290 Forest Street,32.28,-110.73,$30818,$57732,$2261,726,6,Madison Diaz
417,21,65,1998,3,Male,320 Hillside Lane,35.1,-90.0,$10730,$21879,$69638,762,1,Chad Carpenter
298,28,65,1991,5,Male,437 Ocean View Drive,40.79,-77.85,$25031,$51041,$106989,686,1,Darrell Daniels
306,18,69,2002,1,Male,9850 Birch Drive,42.28,-71.16,$34519,$70380,$106797,725,2,Andrew Garza
607,25,64,1994,8,Male,55 Third Drive,41.92,-87.81,$20902,$42617,$67590,771,5,Stephen Haynes
1769,75,65,1944,7,Male,177 Mill Boulevard,39.69,-74.25,$21861,$46031,$8332,661,5,Anthony Morales
698,55,66,1964,10,Female,886 Little Creek Drive,42.62,-73.83,$31927,$65094,$23909,699,3,Kelly Espinoza
896,27,65,1993,2,Female,327 Seventh Boulevard,38.04,-84.45,$18278,$37268,$50388,626,1,Leslie Gregory
1975,53,67,1967,2,Female,8224 Fourth Drive,41.55,-73.03,$19114,$38972,$44098,738,3,Christine Davis
645,63,64,1957,2,Female,174 Catherine Boulevard,33.91,-118.23,$13075,$26661,$42667,750,5,Jessica Hall
227,48,66,1971,9,Male,496 Hill Lane,44.96,-93.26,$40364,$82295,$1555,736,4,Jared Shaffer
84,47,68,1972,9,Male,23068 Park Street,36.49,-81.5,$12630,$25748,$41455,738,3,Adrian Griffith
1684,56,65,1963,11,Male,27019 Madison Lane,36.34,-83.28,$13668,$27861,$108313,782,5,Wesley Morrison
745,18,72,2001,12,Male,293 First Boulevard,34.06,-117.17,$23820,$48561,$0,752,1,Kevin Valenzuela
1508,66,69,1953,4,Female,8929 Essex Drive,39.16,-86.52,$19125,$38999,$64875,747,4,Jennifer Rowe
1158,62,66,1957,4,Male,1569 George Boulevard,35.78,-78.11,$16239,$33112,$56040,716,2,Jeffrey Joseph
1427,34,66,1985,10,Female,326 Elm Lane,35.19,-80.83,$49477,$100880,$210445,770,1,Jane Johnson
352,22,65,1997,11,Male,32 Valley Drive,34.21,-119.18,$18175,$37058,$50548,680,2,Scott Jones
1948,24,58,1995,3,Male,4132 Norfolk Boulevard,38.95,-76.95,$23166,$47234,$89154,685,3,Stephen Bennett
724,45,72,1974,5,Female,819 El Camino Boulevard,35.97,-96.76,$17237,$35142,$107898,731,4,Laura Lester
543,43,65,1976,3,Female,742 Lake Street,43.37,-124.14,$15069,$30721,$49961,749,3,Karen Byrd
1559,56,67,1963,12,Female,607 George Boulevard,34.05,-84.67,$28862,$58846,$126806,746,3,Patricia Rosario
1199,29,68,1990,6,Male,704 Eighth Avenue,42.93,-75.38,$19161,$39069,$63884,720,2,Jacob Dennis
1745,20,65,2000,2,Female,8643 Lafayette Boulevard,33.94,-83.99,$24252,$49449,$30723,728,3,Jacqueline Santos
1950,39,73,1980,3,Female,63 Plum Street,36.69,-84.47,$10942,$22312,$39445,720,5,Sarah Wade
1397,32,72,1987,4,Male,5381 12th Boulevard,36.88,-94.87,$17845,$36388,$92949,710,4,Stephen Quinn
873,52,68,1967,8,Female,65 Fifth Boulevard,28.24,-81.28,$22086,$45037,$31792,710,3,Peggy Diaz
1728,47,63,1972,10,Female,2614 Eighth Lane,44.35,-89.07,$18937,$38615,$74337,601,4,Gabrielle Phillips
299,40,61,1979,7,Male,196 Plum Lane,40.84,-73.87,$13845,$28229,$55675,622,5,Dennis Velasquez
1742,58,67,1961,11,Female,444 Maple Avenue,40.05,-86.03,$24638,$50232,$1218,751,4,Patty Murphy
1004,59,66,1960,5,Male,868 Maple Drive,37.2,-87.17,$16847,$34350,$61639,705,3,Michael Johnson
301,47,69,1972,11,Male,6009 River Avenue,34.24,-84.49,$25654,$52308,$135319,679,1,David Montes
1011,27,66,1992,8,Female,2058 Spruce Street,27.75,-82.64,$15724,$32061,$58904,676,1,Angela Johnson
906,75,69,1945,2,Male,6930 East Lane,40.57,-112.33,$21749,$21154,$5764,705,6,Todd Rich
110,52,72,1967,10,Female,31204 El Camino Lane,30.26,-97.74,$25594,$52186,$42852,737,4,Erica Hayes
1073,43,70,1976,5,Female,967 First Avenue,41.19,-85.7,$17294,$35264,$70328,770,2,Adriana Santiago
705,84,71,1935,9,Female,136 Hillside Avenue,37.91,-122.01,$42234,$79870,$4031,609,2,Ashley Sheppard
820,70,59,1949,12,Female,669 South Street,41.7,-70.3,$26762,$41902,$29713,633,5,Christina Anderson
1188,24,61,1995,8,Female,66992 Second Street,36.3,-115.24,$31374,$63969,$128412,626,1,Lacey Lowe
1128,47,68,1972,7,Male,208 Park Avenue,44.53,-72.0,$16976,$34606,$23909,680,5,Gregory Martinez
1479,32,60,1987,11,Male,335 Main Street,33.72,-84.42,$13059,$26631,$33950,805,1,Frank Moran
1594,39,64,1980,11,Male,532 12th Drive,27.98,-80.66,$17645,$35978,$49366,643,3,Robert Martinez
1485,64,69,1955,10,Male,1350 Lake Drive,33.41,-96.57,$24402,$49756,$89743,618,4,Clayton Morton
1390,37,71,1982,6,Male,691 First Lane,36.17,-86.78,$29868,$60897,$85771,850,3,Jose Salazar
644,58,65,1961,3,Female,511 Grant Avenue,34.42,-84.11,$20581,$41963,$53857,741,1,Whitney Morales
1912,37,60,1982,7,Female,3510 Mountain View Street,44.96,-93.26,$22059,$44976,$134335,684,1,Katie Brooks
1584,27,69,1992,9,Male,9264 Lake Avenue,32.69,-97.01,$22922,$46733,$34333,692,2,Joshua Mcmillan
1803,26,60,1993,4,Female,596 Mountain View Lane,41.66,-70.34,$23129,$47160,$64193,578,1,Linda Jones
1824,23,65,1996,7,Male,374 East Lane,40.44,-86.91,$24737,$50433,$97029,838,3,David Rivera
340,20,63,1999,8,Male,51 George Avenue,47.3,-122.37,$25363,$51713,$86165,809,1,John Russo
650,45,65,1974,8,Male,3916 Tenth Boulevard,32.75,-97.33,$11876,$24215,$28552,707,6,Kenneth Koch
762,49,59,1970,9,Male,813 Fifth Boulevard,40.63,-82.96,$18293,$37298,$52134,683,1,Michael Sanchez
1061,25,67,1994,12,Male,8931 Norfolk Drive,33.44,-111.8,$19844,$40457,$68826,739,1,Jeremiah Cantu
1931,58,72,1961,6,Male,8996 Third Street,42.41,-71.16,$40694,$82974,$181429,503,2,George Walker
702,46,68,1973,7,Female,33 Tenth Street,40.84,-73.4,$34873,$71103,$136853,721,4,Alyssa Henry
918,43,75,1976,5,Female,5528 Lake Lane,40.32,-80.21,$14320,$29194,$10895,703,2,Jennifer Burnett
1137,52,67,1967,10,Male,8824 Hillside Avenue,35.32,-82.46,$16410,$33465,$98713,669,3,William Edwards
66,20,71,1999,6,Female,69 Norfolk Avenue,41.23,-80.81,$15361,$31314,$40331,721,4,Rachel Mccarty
1406,36,68,1983,7,Male,57 Pine Boulevard,36.12,-95.91,$11633,$23718,$1386,712,2,Sean Church
437,46,66,1973,6,Female,9528 Hill Street,39.04,-76.49,$35645,$72670,$28915,718,3,Maria Johnson
806,24,67,1995,4,Female,8251 Park Lane,40.11,-83.13,$38243,$77972,$6128,686,3,Amanda Baker
891,38,66,1981,10,Female,177 Maple Boulevard,35.44,-94.35,$17093,$34854,$40722,746,5,Kristen Salas
1191,25,69,1994,12,Female,299 Oak Boulevard,45.19,-123.24,$18098,$36902,$60538,711,1,Ashley Anthony
701,28,59,1991,12,Female,7087 Plum Street,27.75,-82.64,$26476,$53984,$76118,701,1,Amy Sims
1147,80,69,1939,3,Male,614 Spruce Avenue,40.6,-74.76,$46827,$104692,$6955,704,2,William Hall
1625,24,66,1995,5,Female,625 Washington Lane,47.67,-122.18,$49629,$101191,$290730,659,1,Maria Sullivan
1664,38,66,1981,10,Male,311 Fifth Drive,42.27,-83.73,$34119,$69566,$50003,791,4,Mike Brown
1273,21,71,1998,4,Male,966 Sussex Boulevard,41.88,-87.97,$24223,$49382,$43126,762,1,Vincent Hernandez
1009,41,65,1979,1,Female,9059 Eighth Avenue,36.01,-82.15,$14093,$28733,$0,702,3,Karen Thompson
1341,87,72,1932,8,Male,4713 First Boulevard,41.15,-85.48,$19914,$30349,$2985,686,4,Sean Kelly
925,31,68,1988,3,Male,4165 Valley Avenue,38.76,-89.97,$28710,$58538,$93153,610,1,William Edwards
824,32,66,1987,8,Female,38 Catherine Boulevard,27.75,-82.64,$18100,$36901,$23293,695,4,Molly Cohen
563,70,65,1950,1,Male,3485 Federal Avenue,39.87,-75.92,$24725,$49531,$6707,737,6,Adam Avila
1612,68,66,1951,8,Male,198 Main Boulevard,41.83,-87.68,$20649,$35370,$14777,562,1,John Wallace
1700,45,62,1975,1,Female,891 Fourth Avenue,40.81,-81.93,$18962,$38666,$116783,822,1,Chloe Klein
963,24,70,1995,12,Female,8094 Catherine Lane,42.63,-71.32,$20458,$41714,$54541,687,3,Linda Hill
904,32,66,1987,8,Male,41 Plum Boulevard,37.96,-76.51,$12018,$24505,$52405,759,1,William Cohen
1586,43,65,1977,1,Male,2974 Grant Avenue,40.66,-73.7,$27778,$56640,$104134,672,4,Tyler Morgan
1286,53,67,1966,10,Female,456 Lincoln Boulevard,42.76,-78.74,$30202,$61578,$85383,602,2,Megan Murillo
719,53,66,1966,11,Female,1959 Forest Street,42.27,-89.06,$24589,$50139,$109623,767,3,Tammy Young
1469,21,68,1998,12,Male,74 Hill Avenue,39.12,-97.7,$16990,$34646,$54205,759,1,Tyler Barr
930,22,65,1998,1,Male,5274 Martin Luther King Lane,32.75,-97.33,$12274,$25024,$29227,691,2,David Harris
1814,41,68,1979,1,Female,136 South Street,41.83,-87.68,$16114,$32856,$26535,703,3,Carmen Brown
1723,41,66,1978,10,Female,560 Summit Street,39.16,-89.48,$17696,$36080,$80443,839,3,Angel Figueroa
1377,32,68,1987,11,Female,593 Washington Drive,32.91,-96.62,$14535,$29637,$56446,569,3,Christina Cochran
470,56,65,1964,2,Male,281 Martin Luther King Avenue,35.14,-96.49,$14004,$28553,$94214,747,3,Stephen Harrington
1804,18,65,2001,9,Male,1335 Norfolk Drive,41.56,-70.55,$21335,$43499,$108468,701,4,Tracy Johnson
